LinkId,Speed_kmh_count,Speed_kmh_mean,Speed_kmh_std,Speed_kmh_min,Speed_kmh_25,Speed_kmh_50,Speed_kmh_75,Speed_kmh_max,Median,SrcLatitude,SrcLongitude,DestLatitude,DestLongitude,LatitudeMean,LongitudeMean
LJT_25-33,102327.0,14.21961848776569,7.072923494293663,2.178,8.971167,14.52,18.757894699999998,72.6,14.52,45.530221999999995,-73.622333,45.538277,-73.61444300000001,45.5342495,-73.61838800000001
LJT_33-25,91137.0,15.824630449730629,8.051185391654284,2.176,9.108837199999998,16.7384615,21.403278699999998,65.28,16.7384615,45.538277,-73.61444300000001,45.530221999999995,-73.622333,45.5342495,-73.61838800000001
LJT_33-36,197555.0,19.14685720867708,13.667758653752317,1.016,9.574869099999999,17.2528302,25.7577465,73.152,17.2528302,45.538277,-73.61444300000001,45.5425,-73.611972,45.5403885,-73.6132075
LJT_36-18,167300.0,19.87775998016916,11.533626102400756,1.444,12.8039409,19.3970149,26.795876300000003,74.2628571,19.3970149,45.5425,-73.611972,45.547942,-73.6069,45.545221,-73.60943599999999
LJT_36-33,258484.0,15.33391631552359,8.958567437204987,1.006,10.9084337,15.09,19.6826087,72.432,15.09,45.5425,-73.611972,45.538277,-73.61444300000001,45.5403885,-73.6132075
LJT_43-12,107016.0,24.439452136487066,10.616470021986128,2.186,19.100970899999997,25.2230769,30.9826772,72.8666667,25.2230769,45.55025,-73.604917,45.558837,-73.59818800000001,45.554543499999994,-73.6015525
LJT_43-18,203029.0,20.25215270951243,13.83376298566991,0.6,11.4893617,20.0,26.341463399999995,72.0,20.0,45.55025,-73.604917,45.547942,-73.6069,45.549096,-73.6059085
LLo_40-41,261390.0,20.864805458193885,10.73737905276219,2.686,12.590625,20.145,27.0100559,74.3815385,20.145,45.53075,-73.563055,45.537471999999994,-73.577388,45.534110999999996,-73.5702215
LLo_41-42,258833.0,26.40390518841299,10.684487076209246,2.23,20.90625,26.5827815,33.1735537,74.33333329999999,26.5827815,45.537471999999994,-73.577388,45.543054999999995,-73.589277,45.540263499999995,-73.5833325
LLo_42-41,98722.0,25.116669619163915,12.707947797129188,2.23,17.227467800000003,26.5827815,33.45,74.33333329999999,26.5827815,45.543054999999995,-73.589277,45.537471999999994,-73.577388,45.540263499999995,-73.5833325
LLo_42-43,188682.0,31.74503976432728,12.346168849083984,2.912,25.444660199999998,31.386826300000003,38.5411765,74.88,31.386826300000003,45.543054999999995,-73.589277,45.55025,-73.604917,45.54665249999999,-73.59709699999999
LLo_43-42,61259.0,23.636446124527012,11.661565558244739,2.918,18.174394500000002,23.8745455,29.674576300000002,73.97746479999999,23.8745455,45.55025,-73.604917,45.543054999999995,-73.589277,45.54665249999999,-73.59709699999999
LMa_85-87,132718.0,16.837503308044873,14.420174354921379,0.238,5.95,12.24,26.775,72.2117647,12.24,45.515316999999996,-73.561083,45.514417,-73.5619,45.514866999999995,-73.56149149999999
LMa_87-88,142492.0,13.139452126004267,9.153958040513126,0.25428249999999997,6.8238806,10.632558099999999,18.288,57.15,10.632558099999999,45.514417,-73.5619,45.51345,-73.56275,45.5139335,-73.56232499999999
LMa_88-73,80267.0,23.887880998303167,13.803275709145282,0.75,15.1685393,22.1311475,32.9268293,58.6956522,22.1311475,45.51345,-73.56275,45.5106,-73.56531700000001,45.512024999999994,-73.5640335
LND_49-54,106999.0,29.362896975916602,16.813895545117884,2.402,17.6473469,30.025,40.4074766,74.54482759999999,30.025,45.589193,-73.520443,45.58461,-73.50869499999999,45.586901499999996,-73.514569
LND_52-53,48970.0,32.945189121018984,18.052267157464208,1.748,19.185365899999997,32.775,46.270588200000006,74.91428570000001,32.775,45.580888,-73.511943,45.584333,-73.52205500000001,45.5826105,-73.516999
LND_52-54,143096.0,39.43324476300316,16.33441893891095,1.936,30.0413793,41.4857143,51.2470588,72.6,41.4857143,45.580888,-73.511943,45.58461,-73.50869499999999,45.582749,-73.510319
LND_52-55,106255.0,35.54785541506188,15.801881746122907,2.516,24.883516500000002,37.1213115,47.175,73.0451613,37.1213115,45.580888,-73.511943,45.58586,-73.508083,45.583374,-73.510013
LND_53-54,18702.0,18.058057771853274,15.665823746665648,2.836,4.8849761,11.497297300000001,28.36,73.9826087,11.497297300000001,45.584333,-73.52205500000001,45.58461,-73.50869499999999,45.5844715,-73.515375
LND_54-49,64153.0,26.895800309126614,17.587982616437973,2.416,11.947252699999998,24.5694915,40.6429907,74.9793103,24.5694915,45.58461,-73.50869499999999,45.589193,-73.520443,45.586901499999996,-73.514569
LND_54-52,153302.0,32.0944054906968,15.722404192454476,1.936,20.2604651,30.0413793,43.56,72.6,30.0413793,45.58461,-73.50869499999999,45.580888,-73.511943,45.582749,-73.510319
LND_54-55,169620.0,22.81516587221495,16.68169376668104,0.588,8.9694915,19.6,35.28,66.15,19.6,45.58461,-73.50869499999999,45.58586,-73.508083,45.585235,-73.508389
LND_54-57,117811.0,11.357542142541018,12.858084225584932,0.592,4.067175600000001,6.8307692,12.3906977,66.6,6.8307692,45.58461,-73.50869499999999,45.582917,-73.508558,45.5837635,-73.50862649999999
LND_55-52,117527.0,30.171674190195446,13.632021129342906,2.516,20.966666699999998,28.305,39.041379299999996,73.0451613,28.305,45.58586,-73.508083,45.580888,-73.511943,45.583374,-73.510013
LND_55-54,129644.0,22.07343565165607,15.124600696746864,0.588,10.1769231,18.9,33.075,66.15,18.9,45.58586,-73.508083,45.58461,-73.50869499999999,45.585235,-73.508389
LND_57-54,19899.0,14.441170587245592,20.597190438731957,0.764,1.3109639999999998,2.6344828,20.836363600000002,68.76,2.6344828,45.582917,-73.508558,45.58461,-73.50869499999999,45.5837635,-73.50862649999999
LOn_74-75,16308.0,7.499511233265882,10.91568898119847,0.32,0.6682135,2.0353357,9.6,57.6,2.0353357,45.509917,-73.56745,45.511283,-73.566783,45.5106,-73.5671165
LOn_75-74,33420.0,12.399928514198084,12.232156592190758,0.32,2.2239382,9.1428571,18.0,57.6,9.1428571,45.511283,-73.566783,45.509917,-73.56745,45.5106,-73.5671165
LOn_75-91,27292.0,17.057816094694417,11.999258344462994,0.796,4.824242400000001,17.2626506,25.1368421,59.7,17.2626506,45.511283,-73.566783,45.514767,-73.565617,45.513025,-73.56620000000001
LOn_86-89,109099.0,14.362913038392652,12.8078850741322,0.26,4.4150943,10.8837209,21.272727300000003,72.27692309999999,10.8837209,45.517033000000005,-73.564717,45.515917,-73.56523299999999,45.516475,-73.564975
LOn_86-90,167671.0,13.629966547301562,13.791220146645223,0.202,1.9443849999999998,8.8682927,21.3882353,60.6,8.8682927,45.517033000000005,-73.564717,45.517883000000005,-73.564267,45.517458000000005,-73.564492
LOn_89-86,91870.0,13.315406734122131,13.550290786302249,0.26,1.2546917,9.0,21.272727300000003,58.5,9.0,45.515917,-73.56523299999999,45.517033000000005,-73.564717,45.516475,-73.564975
LOn_89-91,74184.0,13.447815041725978,11.268697289115329,0.26,4.1052632000000004,10.4,20.347826100000002,58.5,10.4,45.515917,-73.56523299999999,45.514767,-73.565617,45.515342000000004,-73.565425
LOn_90-86,147837.0,12.377947885590888,12.485806506915216,0.202,1.7823528999999998,8.8682927,17.3142857,60.6,8.8682927,45.517883000000005,-73.564267,45.517033000000005,-73.564717,45.517458000000005,-73.564492
LOn_91-75,44831.0,20.392608178079897,12.794208342024454,0.7964425,11.19375,19.6273973,29.2408163,59.7,19.6273973,45.514767,-73.565617,45.511283,-73.566783,45.513025,-73.56620000000001
LOn_91-89,51832.0,13.676414663310311,13.704121131174594,0.262,2.4184615000000003,9.2470588,21.436363600000004,58.95,9.2470588,45.514767,-73.565617,45.515917,-73.56523299999999,45.515342000000004,-73.565425
LPI_45-10,17877.0,11.932283108989203,10.547424885247429,2.4,4.1182078,8.888888900000001,15.3191489,74.48275859999998,8.888888900000001,45.582805,-73.628222,45.576028,-73.636462,45.5794165,-73.632342
LPK_68-70,20345.0,6.784678971845662,7.4273853375770065,0.232,1.5075812,4.2181818,9.8813793,71.64,4.2181818,45.507483,-73.5695,45.508383,-73.568717,45.507933,-73.5691085
LPK_70-68,54352.0,10.578999941819989,8.577999211444537,0.234,5.1365854,8.1,14.04,52.65,8.1,45.508383,-73.568717,45.507483,-73.5695,45.507933,-73.5691085
LPK_70-74,4927.0,6.7543766276233,9.749658794263494,0.39622009999999996,1.0074916999999999,3.24,6.8538461999999996,59.4,3.24,45.508383,-73.568717,45.509917,-73.56745,45.509150000000005,-73.5680835
LPK_74-70,50316.0,16.735536254956674,11.807262091944127,0.32,7.7837838,14.4,24.0,57.6,14.4,45.509917,-73.56745,45.508383,-73.568717,45.509150000000005,-73.5680835
LPa_15-16,256155.0,20.4041646158853,8.864451670347602,2.47,15.384082999999999,20.3013699,24.8379888,74.1,20.3013699,45.570268,-73.658807,45.564785,-73.64494300000001,45.5675265,-73.651875
LPa_15-17,179988.0,25.600820189976005,8.331594823165124,5.874,20.854437899999997,25.3553957,30.295702000000002,74.987234,25.3553957,45.570268,-73.658807,45.556428000000004,-73.626345,45.563348000000005,-73.64257599999999
LPa_16-15,267072.0,22.473104889098067,10.134915904478762,2.472,16.3588235,22.248,28.8935065,74.16,22.248,45.564785,-73.64494300000001,45.570268,-73.658807,45.5675265,-73.651875
LPa_16-17,349906.0,32.46938206179746,11.464982961945617,3.414,25.082449,31.1939086,40.1647059,74.9414634,31.1939086,45.564785,-73.64494300000001,45.556428000000004,-73.626345,45.560606500000006,-73.63564400000001
LPa_17-15,73091.0,26.16692834046189,8.97933990736911,5.874,21.3169355,27.0414322,31.846988,74.987234,27.0414322,45.556428000000004,-73.626345,45.570268,-73.658807,45.563348000000005,-73.64257599999999
LPa_17-16,374306.0,30.61573645192998,10.448998765659574,3.376,26.3064935,31.486010399999998,36.607228899999996,74.1073171,31.486010399999998,45.556428000000004,-73.626345,45.564785,-73.64494300000001,45.560606500000006,-73.63564400000001
LPa_17-18,152549.0,26.91398515860084,10.31839583875304,3.624,21.5287129,26.844444399999997,32.293069300000006,74.9793103,26.844444399999997,45.556428000000004,-73.626345,45.547942,-73.6069,45.552185,-73.6166225
LPa_18-17,122155.0,25.415056286376323,9.725634244977925,3.628,21.1339806,25.9142857,31.3961538,74.2090909,25.9142857,45.547942,-73.6069,45.556428000000004,-73.626345,45.552185,-73.6166225
LPi_01-47,150679.0,28.75295113183456,9.892540031174647,5.14,23.363636399999997,29.278481,34.7819549,73.42857140000001,29.278481,45.553847,-73.55452,45.564221999999994,-73.584722,45.559034499999996,-73.569621
LPi_01-48,95727.0,27.39057670696251,13.805917259161088,3.276,17.7081081,28.625242699999998,36.4,74.643038,28.625242699999998,45.553847,-73.55452,45.548472,-73.5355,45.5511595,-73.54500999999999
LPi_44-45,177549.0,20.490109690196505,8.008613686125836,3.654,16.1601966,21.0134185,25.592217899999998,73.90112359999999,21.0134185,45.595805,-73.6425,45.582805,-73.628222,45.589304999999996,-73.63536099999999
LPi_44-46,93018.0,24.389373965086328,7.87390550741193,7.866,19.448901100000004,24.7964974,29.870886100000003,73.36165799999999,24.7964974,45.595805,-73.6425,45.572693,-73.605333,45.584249,-73.6239165
LPi_45-44,204469.0,18.827560826844653,8.637012554295243,3.63,11.6056838,19.5044776,24.6566038,74.25,19.5044776,45.582805,-73.628222,45.595805,-73.6425,45.589304999999996,-73.63536099999999
LPi_45-46,245854.0,30.459053274538146,11.320403637919249,4.214,23.6299065,31.0868852,38.5035533,73.6427184,31.0868852,45.582805,-73.628222,45.572693,-73.605333,45.577749,-73.6167775
LPi_46-45,286131.0,33.58041330857754,14.227163472421585,4.214,23.778056399999997,32.8363636,46.2512195,74.3647059,32.8363636,45.572693,-73.605333,45.582805,-73.628222,45.577749,-73.6167775
LPi_46-47,150573.0,31.550282434803048,13.037268709622968,3.72,23.5774648,31.289719599999998,42.9230769,72.78260870000001,31.289719599999998,45.572693,-73.605333,45.564221999999994,-73.584722,45.568457499999994,-73.5950275
LPi_47-01,161592.0,26.313027010015347,10.53320927992056,5.148,18.949693300000003,26.250424900000002,33.4527076,72.39375,26.250424900000002,45.564221999999994,-73.584722,45.553847,-73.55452,45.559034499999996,-73.569621
